P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-08-17,5,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,132,2305,경기/인천
2023-08-27,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,92,668,경기/인천
2023-08-27,1,1,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,1657,경기/인천
2023-09-16,7,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,3775,경기/인천
2023-08-15,3,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,87,665,경기/인천
2023-08-21,2,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,89,663,경기/인천
2023-09-14,5,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,869,경기/인천
2023-08-07,2,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,1040,경기/인천
2023-08-10,5,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,144,853,경기/인천
2023-10-27,6,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,852,경기/인천
2023-08-25,6,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,797,경기/인천
2023-09-26,3,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,2358,경기/인천
2023-08-13,1,5,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,27,697,경기/인천
2023-09-17,1,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,97,2201,경기/인천
2023-09-20,4,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,1195,경기/인천
2023-09-26,3,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,4782,경기/인천
2023-09-08,6,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,60,2602,경기/인천
2023-08-26,7,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,110,1290,경기/인천
2023-10-18,4,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,1915,경기/인천
2023-08-25,6,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,701,경기/인천
2023-08-13,1,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,3531,경기/인천
2023-09-10,1,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,1541,경기/인천
2023-09-09,7,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,61,1678,경기/인천
2023-08-23,4,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,86,5600,경기/인천
2023-09-26,3,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,117,1264,경기/인천
