P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-10-13,6,22,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,99,2422,경기/인천
2023-09-29,6,0,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,102,1500,서울
2023-08-31,5,20,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,191,11119,서울
2023-09-07,5,22,ADB06839AD038CCFDE78055F83CBD05319B1CA2A,UTE7057LGU,92,752,경기/인천
2023-10-15,1,13,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,99,646,경기/인천
2023-09-10,1,21,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,91,1873,경기/인천
2023-10-01,1,2,ADB06839AD038CCFDE78055F83CBD05319B1CA2A,UTE7057LGU,91,1778,경기/인천
2023-08-08,3,22,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,72,1754,춘천
2023-08-31,5,8,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,62,753,대전
2023-10-07,7,15,ADB06839AD038CCFDE78055F83CBD05319B1CA2A,UTE7057LGU,14,2904,경기/인천
2023-10-12,5,19,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,50,1480,춘천
2023-09-20,4,15,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,0,1060,서울
2023-08-08,3,14,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,977,2614,대전
2023-08-03,5,16,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,50,1626,경기/인천
2023-10-01,1,17,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,79,1047,서울
2023-08-07,2,11,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,999,888,경기/인천
2023-08-06,1,19,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,81,762,대전
2023-08-06,1,8,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,75,2103,경기/인천
2023-08-18,6,21,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,95,1769,경기/인천
2023-08-25,6,23,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,98,1401,경기/인천
2023-08-17,5,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,132,2305,경기/인천
2023-10-01,1,11,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,138,603,경기/인천
